# gammas 	 deltas 	 lambdas 
#  Acceptance Ratio: 0.0003
#  Elapsed Time: 0.568690299987793
94201.856494225881761 	 208752184774.205749511718750 	 2216009.243798727635294
105720.384457923108130 	 205689454131.815612792968750 	 1945598.809411068446934
64550.724607805554115 	 125589812943.568237304687500 	 1945598.809411068446934
85316.235823414608603 	 165991166841.469421386718750 	 1945598.809411068446934
91239.758327025236213 	 177515965172.013916015625000 	 1945598.809411068446934
66392.572053570969729 	 134066017432.673126220703125 	 2019292.419105222681537
117185.416756287668250 	 212317711561.479064941406250 	 1811810.013894813368097
61236.218119782541180 	 149358979541.927429199218750 	 2439062.765923432540148
98551.073227368091466 	 240372253250.667144775390625 	 2439062.765923432540148
125394.203574422746897 	 154196169371.352233886718750 	 1229691.365118286572397
81912.835397443981492 	 100727506380.592391967773438 	 1229691.365118286572397
116535.983429083047668 	 173324265362.249176025390625 	 1487302.550355394138023
116587.118610071906005 	 192220310415.133270263671875 	 1648726.829402295872569
83490.849815402398235 	 142362109144.050109863281250 	 1705122.291350628249347
105619.713945790077560 	 184486202057.706481933593750 	 1746702.345287500647828
89676.338466724642785 	 156637870716.623657226562500 	 1746702.345287500647828
91076.438858177702059 	 159083429354.012664794921875 	 1746702.345287500647828
91293.386199431974092 	 202447052661.130218505859375 	 2217543.472633177880198
75290.817160674472689 	 119222669441.672592163085938 	 1583495.490389555692673
132988.303919869242236 	 210586379531.668609619140625 	 1583495.490389555692673
123859.878332982130814 	 142898055734.907257080078125 	 1153707.380131145473570
136764.969316592876567 	 157786754443.962860107421875 	 1153707.380131145473570
103560.125566773800529 	 119478081153.695053100585938 	 1153707.380131145473570
117630.545437161315931 	 135711228399.705047607421875 	 1153707.380131145473570
92303.808281566380174 	 106491584828.653472900390625 	 1153707.380131145473570
124255.938957806385588 	 143354993800.746337890625000 	 1153707.380131145473570
145440.111477514146827 	 167795329978.704589843750000 	 1153707.380131145473570
108318.703116384072928 	 124968087191.606811523437500 	 1153707.380131145473570
73683.434834995554411 	 98657921858.414337158203125 	 1338943.034880850696936
95233.607518733813777 	 143134755602.783172607421875 	 1502985.756101138191298
127496.558591440378223 	 191625511514.849090576171875 	 1502985.756101138191298
115274.294178095486131 	 173255622194.289886474609375 	 1502985.756101138191298
94637.276283543251338 	 152310644389.849395751953125 	 1609414.919481734279543
94970.355359112756560 	 152846706823.438140869140625 	 1609414.919481734279543
120645.340321889001643 	 187618890317.620605468750000 	 1555127.531797267496586
63649.503914025830454 	 98983095921.939514160156250 	 1555127.531797267496586
124654.716068849797011 	 193853980927.039550781250000 	 1555127.531797267496586
98181.598439443245297 	 154771483399.909698486328125 	 1576379.747935863211751
155299.630700565001462 	 244811192698.289306640625000 	 1576379.747935863211751
135118.592700315435650 	 146007075922.353515625000000 	 1080584.640532691497356
77182.331938682138571 	 120987247150.955581665039062 	 1567551.071754018310457
97641.095872275196598 	 153057404481.821838378906250 	 1567551.071754018310457
101125.861430988006759 	 158519952468.193603515625000 	 1567551.071754018310457
113907.744499069522135 	 217307813302.819946289062500 	 1907752.754287879681215
99871.486071412058664 	 190530102627.559967041015625 	 1907752.754287879681215
87268.687428366552922 	 176954666482.012542724609375 	 2027699.415409033652395
98303.574762813033885 	 199330101079.174224853515625 	 2027699.415409033652395
56694.260949035131489 	 106425380628.865341186523438 	 1877180.844186956062913
70680.578444293656503 	 194476949183.958404541015625 	 2751490.628182024229318
74252.771958621146041 	 232745488235.179718017578125 	 3134502.350496515166014
108074.017397032017470 	 176006249446.679473876953125 	 1628571.359571880195290
85885.963453616161132 	 173110855871.116119384765625 	 2015589.613366879289970
142823.281228658946929 	 175969505142.129180908203125 	 1232078.577304237987846
117953.438893924074364 	 145327905180.568359375000000 	 1232078.577304237987846
152614.837190344522242 	 163446548924.961273193359375 	 1070974.172197341453284
139120.719119356712326 	 148994696994.351898193359375 	 1070974.172197341453284
147719.944583625299856 	 158204245367.485260009765625 	 1070974.172197341453284
